id,cuisine
18009,italian
28583,southern_us
41580,italian
29752,cajun_creole
35687,italian
38527,southern_us
19666,spanish
41217,chinese
28753,mexican
22659,southern_us
21749,italian
44967,italian
42969,indian
44883,italian
20827,british
23196,british
35387,indian
33780,southern_us
19001,japanese
16526,southern_us
42455,japanese
47453,italian
42478,italian
11885,korean
16585,italian
29639,southern_us
26245,vietnamese
38516,korean
47520,italian
26212,indian
23696,mexican
14926,filipino
13292,japanese
27346,japanese
1384,chinese
15959,indian
42297,russian
46235,indian
21181,indian
9809,indian
22982,filipino
23120,chinese
26743,french
12741,mexican
7050,italian
22437,italian
14760,italian
10649,french
48065,southern_us
39931,japanese
32935,italian
40142,thai
19103,mexican
38267,italian
30512,italian
3324,french
26197,italian
384,japanese
47230,chinese
39748,italian
41038,french
24878,mexican
42624,filipino
45706,korean
8874,mexican
23878,italian
47234,indian
24075,italian
46323,italian
22562,japanese
11358,italian
9201,indian
38620,italian
47638,southern_us
21238,indian
11053,japanese
46602,indian
13937,mexican
21876,southern_us
20798,italian
24381,chinese
48178,italian
45832,italian
27560,korean
23247,southern_us
28975,british
43230,greek
9126,italian
13021,cajun_creole
28194,indian
25617,mexican
36125,italian
16454,mexican
1607,chinese
38526,italian
18755,indian
12035,french
16047,italian
15419,italian
16971,mexican
31459,southern_us
27888,french
13900,italian
12376,italian
1658,indian
29431,indian
22290,italian
28464,italian
37953,korean
20814,indian
35987,indian
2329,italian
43237,mexican
30647,french
16675,indian
37722,mexican
32438,chinese
20287,filipino
43296,indian
6237,mexican
48560,korean
20810,mexican
34951,french
31850,italian
47745,indian
37815,italian
9872,italian
5592,italian
27411,thai
39320,southern_us
40247,southern_us
19792,mexican
40754,italian
14365,mexican
14468,italian
47563,mexican
19611,italian
7163,mexican
43069,indian
27505,chinese
36500,mexican
25932,southern_us
817,italian
8471,french
48250,southern_us
9413,mexican
12097,indian
8416,italian
5892,italian
676,indian
47015,japanese
21891,italian
14630,italian
36195,italian
25981,mexican
39964,indian
28298,indian
31954,french
26620,mexican
14932,southern_us
47426,indian
1038,southern_us
8077,southern_us
37141,southern_us
45447,french
9624,mexican
45589,italian
7265,indian
31844,southern_us
13046,italian
9867,italian
29184,italian
34783,italian
2823,vietnamese
18932,mexican
11112,mexican
12859,mexican
9365,italian
44516,indian
18193,southern_us
46545,italian
9900,italian
14815,mexican
39690,french
22193,southern_us
11739,french
27311,indian
36920,indian
7861,japanese
29248,moroccan
43142,mexican
7574,japanese
8610,mexican
989,italian
46926,mexican
40816,italian
39726,mexican
42229,southern_us
10474,italian
22140,mexican
31985,indian
46165,japanese
20860,italian
42494,italian
15968,mexican
20484,indian
26661,mexican
47182,mexican
22528,french
3861,indian
1203,french
45040,french
33287,indian
10097,french
42005,indian
12423,italian
39613,italian
30276,brazilian
18686,japanese
3031,french
40093,italian
182,italian
46591,french
4092,chinese
13722,southern_us
44575,italian
14989,italian
13270,italian
25529,italian
12140,indian
23127,mexican
13523,italian
41270,italian
8362,indian
11735,french
27935,italian
28198,mexican
37765,mexican
33856,southern_us
30198,italian
42521,italian
21567,southern_us
36995,french
24967,thai
45002,southern_us
48925,indian
36914,indian
2280,southern_us
14729,southern_us
4594,italian
2237,italian
45631,moroccan
2317,italian
23079,southern_us
29333,chinese
48066,italian
15737,indian
30580,italian
1119,italian
46336,indian
5026,italian
10749,southern_us
31020,mexican
30805,mexican
27653,japanese
35060,mexican
39174,indian
49509,italian
31784,french
31408,italian
36029,mexican
11045,indian
6561,southern_us
26992,french
31179,southern_us
35099,mexican
11018,japanese
17930,mexican
21302,italian
46352,japanese
25132,italian
7010,french
25850,british
19601,italian
7935,italian
34994,filipino
25113,italian
45523,italian
34977,italian
7124,french
27514,british
27178,mexican
47880,japanese
29197,french
16347,irish
20333,mexican
29112,filipino
7510,italian
13897,indian
35699,italian
20520,mexican
38920,southern_us
21775,indian
37475,japanese
40131,cajun_creole
1939,mexican
48268,mexican
34815,italian
13797,italian
39063,chinese
29064,japanese
26896,italian
29477,french
3352,southern_us
4966,mexican
7316,italian
23879,mexican
16525,italian
32843,mexican
39574,japanese
32737,mexican
44788,filipino
28772,italian
34189,mexican
33719,italian
25846,mexican
1423,mexican
4328,japanese
579,french
5219,indian
2314,italian
31143,italian
13409,irish
3281,italian
15804,indian
40835,southern_us
39262,korean
37013,italian
14807,italian
47956,italian
2580,mexican
13720,french
23008,japanese
5951,indian
39312,mexican
6176,southern_us
17617,indian
57,mexican
43422,indian
49403,indian
44751,french
21865,mexican
26584,british
39355,korean
14038,southern_us
45396,spanish
49715,mexican
41515,vietnamese
30445,italian
4090,mexican
17207,thai
40376,italian
19398,italian
22347,mexican
49671,mexican
40854,italian
926,cajun_creole
47919,mexican
20571,italian
18866,southern_us
48742,mexican
14577,italian
29481,french
40996,italian
34470,italian
31147,mexican
35932,indian
27221,italian
48301,italian
29925,japanese
48640,indian
22873,indian
10565,chinese
15509,italian
37569,french
13306,indian
40474,southern_us
15182,indian
8609,chinese
32168,filipino
1125,indian
25244,italian
46889,chinese
13841,indian
47135,mexican
29036,indian
43533,chinese
41631,french
22124,italian
18836,italian
35695,french
5141,indian
41894,italian
4972,italian
34195,thai
14183,french
15188,indian
8734,french
30946,southern_us
5588,southern_us
49554,french
1270,indian
1259,vietnamese
45986,british
22351,french
300,mexican
9278,southern_us
10021,italian
17014,southern_us
40855,italian
18362,japanese
16292,chinese
29924,southern_us
47174,italian
4856,italian
15417,italian
19875,indian
42228,indian
36264,mexican
14571,indian
23496,italian
43879,indian
23431,indian
5499,italian
247,mexican
48795,indian
47113,italian
489,mexican
13036,japanese
4838,italian
40630,indian
17576,italian
29972,indian
8123,indian
35918,mexican
42669,italian
24632,mexican
35740,indian
45670,italian
28041,filipino
46688,japanese
10309,thai
15367,southern_us
30562,southern_us
47151,italian
47300,vietnamese
31200,mexican
5749,italian
41807,french
13990,mexican
23572,greek
872,french
38085,vietnamese
5248,french
26309,indian
26880,mexican
41559,mexican
8059,mexican
26041,thai
30019,indian
7207,indian
30309,french
2092,french
8023,japanese
4016,indian
24631,italian
35068,southern_us
8523,mexican
28463,italian
8629,italian
43829,cajun_creole
22129,italian
34505,japanese
38200,korean
36513,japanese
32187,italian
7788,southern_us
31130,filipino
40483,italian
2224,mexican
14143,mexican
22889,mexican
17406,korean
10451,italian
19844,italian
23416,french
33874,french
39951,italian
41361,mexican
44659,mexican
8836,french
21709,indian
22993,mexican
39191,southern_us
17182,mexican
20507,korean
42397,southern_us
18897,italian
3797,indian
11041,brazilian
807,italian
3514,italian
12936,korean
15050,british
43377,french
10471,mexican
30721,mexican
14333,indian
6260,chinese
7712,southern_us
19048,southern_us
21455,mexican
18575,cajun_creole
47647,french
35947,mexican
14499,italian
43525,italian
5723,italian
48497,italian
43822,french
525,italian
30594,mexican
47948,southern_us
2099,indian
43863,italian
24711,mexican
15230,indian
21680,indian
36218,mexican
41622,chinese
34809,indian
5110,french
27214,italian
34803,southern_us
36822,indian
6912,mexican
20373,french
29157,french
6327,mexican
35502,italian
8305,french
35598,italian
48538,indian
49358,indian
44506,mexican
39146,indian
29270,french
20560,french
24169,southern_us
41537,italian
10431,italian
31517,southern_us
34049,chinese
26964,italian
49655,italian
9101,southern_us
30377,italian
7046,indian
47969,indian
18971,french
38891,indian
29506,southern_us
40305,indian
21255,indian
15578,mexican
24894,southern_us
32089,chinese
46097,japanese
40982,italian
12543,indian
38366,southern_us
32925,italian
17506,mexican
48389,southern_us
41804,korean
9961,vietnamese
24939,indian
39599,french
45838,mexican
48875,indian
25531,vietnamese
3009,cajun_creole
31965,indian
16901,italian
13370,italian
2954,japanese
40353,italian
8207,italian
10933,japanese
38206,southern_us
14110,italian
19128,italian
32616,indian
27748,mexican
31858,french
20510,mexican
17602,vietnamese
35665,southern_us
46589,indian
8178,mexican
34880,italian
42527,mexican
29682,mexican
32166,mexican
30343,british
15385,indian
18372,japanese
29211,italian
23269,chinese
4561,italian
27365,mexican
49032,japanese
22064,italian
12060,mexican
47834,southern_us
25815,southern_us
34036,italian
19326,southern_us
44078,southern_us
31090,italian
17485,italian
708,french
5350,filipino
29754,indian
18309,italian
46871,french
27300,southern_us
41890,mexican
49548,southern_us
11392,french
1354,mexican
48819,southern_us
19097,southern_us
42113,greek
24060,italian
25849,italian
4543,italian
25306,british
41966,italian
48719,mexican
48191,japanese
8826,french
42703,mexican
16083,southern_us
26613,mexican
28088,filipino
39965,southern_us
36239,italian
4322,italian
9951,french
3045,mexican
28585,italian
39841,indian
25913,mexican
39715,indian
23135,vietnamese
47022,indian
24160,southern_us
18619,italian
12574,korean
22681,mexican
33692,cajun_creole
538,mexican
22118,chinese
21890,french
36340,japanese
27973,french
12870,mexican
22564,japanese
35063,french
7000,french
11318,moroccan
47001,italian
11395,japanese
23507,japanese
47242,spanish
